,mean_proximity,z-score,p-value,No.of.Targets,Mean_degrees
DB00523,2.04861111111111,-1.66019800032779,0.0484373134055977,2,96
DB01734,1.86805555555556,-1.54405988319812,0.0612869131072847,1,205
DB01820,1.86805555555556,-1.6760420412294,0.0468649790408347,1,205
DB02014,1.86805555555556,-1.79567375981681,0.0362732087405484,1,205
DB02072,1.86805555555556,-1.63938856676602,0.0505661806195733,1,205
DB02259,1.86805555555556,-2.04458387550937,0.0204479502613506,1,205
DB02420,1.86805555555556,-1.82243111943522,0.0341947981615666,1,205
DB02436,1.86805555555556,-1.62164266567488,0.0524399408060635,1,205
DB02615,1.86805555555556,-1.82649426147288,0.0338879224343193,1,205
DB02620,1.86805555555556,-1.73297285456123,0.0415502468626054,1,205
DB02622,1.86805555555556,-1.7735071963881,0.0380723502437772,1,205
DB02651,1.86805555555556,-1.78244681573679,0.0373381984321672,1,205
DB02662,1.86805555555556,-1.80349158134532,0.0356555232017839,1,205
DB02784,1.86805555555556,-1.86970394799098,0.0307624704916338,1,205
DB02827,1.86805555555556,-1.67171117077335,0.0472906451505006,1,205
DB02977,1.86805555555556,-1.73486935768874,0.0413819738767294,1,205
DB03102,1.86805555555556,-1.72601091977018,0.0421727241216188,1,205
DB03154,1.86805555555556,-1.84313809546789,0.0326544252249221,1,205
DB03311,1.86805555555556,-1.71132351370266,0.0435107040007639,1,205
DB03483,1.86805555555556,-1.62552428680346,0.0520254465969442,1,205
DB03557,1.86805555555556,-1.71660386141895,0.0430257882400328,1,205
DB03670,1.86805555555556,-1.94307414102568,0.0260036004530024,1,205
DB03714,1.86805555555556,-2.02208209190384,0.0215839358767646,1,205
DB03982,1.86805555555556,-1.50858042990608,0.0657030192202854,1,205
DB04001,1.86805555555556,-1.56835141638152,0.0583995713532398,1,205
DB04088,1.86805555555556,-1.69637726709212,0.0449072280251033,1,205
DB04142,1.86805555555556,-1.76471439082256,0.0388058893745792,1,205
DB04204,1.86805555555556,-1.83098416625889,0.0335514532208464,1,205
DB04285,1.86805555555556,-1.73446391258863,0.0414179017277534,1,205
DB04525,1.86805555555556,-1.65512110508166,0.0489499672905454,1,205
DB04800,1.86805555555556,-1.80797186219408,0.0353054400002344,1,205
DB05506,1.86805555555556,-1.59320598189305,0.0555569948635553,1,205
DB06333,1.86805555555556,-1.99066184286213,0.023259038169854,1,205
DB06829,1.86805555555556,-1.76448335994196,0.0388253172373271,1,205
DB06887,1.86805555555556,-1.97127998698262,0.0243459295950109,1,205
DB07130,1.86805555555556,-1.9045719748997,0.0284178662176095,1,205
DB07134,1.86805555555556,-1.93545894008454,0.026467001296601,1,205
DB07197,1.86805555555556,-1.6813547624576,0.0463470134060151,1,205
DB07263,1.86805555555556,-1.55307580757368,0.0602025124931761,1,205
DB07289,1.86805555555556,-1.63356563886898,0.051175043856628,1,205
DB07295,1.86805555555556,-1.81406477104556,0.0348338772346248,1,205
DB07298,1.86805555555556,-1.70960135256062,0.043669807685702,1,205
DB07480,1.86805555555556,-2.02645276660944,0.021359204166739,1,205
DB07651,1.86805555555556,-1.91725338295043,0.0276028745676045,1,205
DB07719,1.86805555555556,-1.62218645961319,0.0523817150123296,1,205
DB07730,1.86805555555556,-1.93976575365253,0.0262040821939326,1,205
DB08001,1.86805555555556,-1.99544668312639,0.022997091855615,1,205
DB08003,1.86805555555556,-1.66426863180414,0.0480293790347126,1,205
DB08147,1.86805555555556,-1.71424111300323,0.0432422265506032,1,205
DB08371,1.86805555555556,-1.88113941385786,0.0299764783553206,1,205
DB08397,1.86805555555556,-1.48370869586541,0.0689431091627235,1,205
DB08549,1.86805555555556,-1.96035215092474,0.0249773222167539,1,205
DB08591,1.86805555555556,-1.60199154763707,0.054578739298369,1,205
DB08593,1.86805555555556,-1.77875720526416,0.0376397880182257,1,205
DB08783,1.86805555555556,-1.88713717283673,0.0295709390053026,1,205
DB06372,2.5625,0.515712924884384,0.696972536932921,1,7
DB00126,2.42824074074074,0.267371163357777,0.605408300106356,3,12.3333333333333
DB02598,2.45138888888889,0.116080526596085,0.546205639002078,1,13
DB04150,2.45138888888889,0.181070749859036,0.571843978349872,1,13
DB08378,1.84722222222222,-1.77634446013775,0.0378380796716667,1,139
