,mean_proximity,z-score,p-value,No.of.Targets,Mean_degrees
DB01926,2.62857142857143,2.58693005072162,0.995158237603743,1,8
DB02710,2.62857142857143,2.29982841718712,0.989271028586344,1,8
DB04043,2.62857142857143,2.00171118549845,0.977342098652029,1,8
DB04476,2.62857142857143,2.35378281667282,0.990708267378951,1,8
DB04478,2,-0.379450150799196,0.352176807551352,1,22
DB00313,2,-0.398465311669731,0.345143611564924,1,28
DB04707,1.94285714285714,-0.654617864805971,0.256356909530017,1,65
DB07876,1.94285714285714,-0.687975197039342,0.245734200340901,1,65
DB08162,1.94285714285714,-0.821134649894662,0.205784787589807,1,65
DB08756,1.94285714285714,-0.594893952801804,0.275957179874728,1,65
DB13165,1.94285714285714,-0.549129987197068,0.291458123691641,1,65
DB13931,1.94285714285714,-0.520472683510746,0.301367081131571,1,65
DB00491,1.91428571428571,-0.727337914341979,0.233509488745589,1,31
DB04066,2.08571428571429,-0.0215164753698394,0.491416830530379,1,12
DB07177,2.08571428571429,-0.101670824101081,0.459508980552817,1,12
DB00997,1.8,-1.11052901537765,0.133385566025827,1,89
DB00123,1.85714285714286,-0.981856159951083,0.163085358112569,1,77
DB00316,1.97142857142857,-0.445687527037862,0.327911487812195,1,81
DB05036,1.97142857142857,-0.577434798101283,0.281822886332516,1,81
DB08605,1.94285714285714,-0.701059447424599,0.241632958298068,1,24
DB02761,2.11428571428571,0.0203398893978339,0.508113882388425,1,9
DB03889,2.11428571428571,-0.0576972167625849,0.476994905353282,1,5
DB03612,2.05714285714286,-0.161380024477528,0.435897049305523,1,16
DB01944,2.28571428571429,0.855364348591804,0.803825263016256,1,10
DB03126,2.28571428571429,0.543896576220572,0.706743677426497,1,10
DB07468,2.28571428571429,0.935997365949025,0.825362728044664,1,10
DB07469,2.28571428571429,0.90300656916287,0.816738795763151,1,10
DB07470,2.28571428571429,0.853976655337008,0.803441037858006,1,10
DB08276,2.28571428571429,0.937100988276483,0.825646693431558,1,10
DB04964,2.57142857142857,2.06148174381225,0.980371448303501,1,6
DB05786,1.91428571428571,-0.769238410542102,0.220875896004145,1,46
DB06774,1.77142857142857,-1.22363001729542,0.110545915310379,1,94
DB02820,1.85714285714286,-0.881488291472044,0.189026794256264,1,132
DB03964,1.94285714285714,-0.722856643254822,0.234883981516422,1,31
DB04072,1.94285714285714,-0.592920450165706,0.276617195632811,1,31
DB04351,1.94285714285714,-0.668004098524458,0.252065488146219,1,31
DB04562,1.94285714285714,-0.603731480197135,0.273011090525933,1,31
DB07574,1.74285714285714,-1.28670251294349,0.0990989984341755,1,107
DB07664,2.05714285714286,-0.111386150877588,0.455655070859266,1,9
DB07853,2.05714285714286,-0.142732594165356,0.443250686920384,1,9
DB12010,2.05714285714286,-0.2818478243263,0.389030099150329,1,9
DB03661,2.14285714285714,0.283825283883216,0.611727861374739,1,5
DB00167,1.97142857142857,-0.477101963840712,0.316644758163572,1,32
DB12339,2,-0.325533752780991,0.372388570736545,1,14
DB00149,1.85714285714286,-0.91732967240275,0.179484956551792,1,54
DB00141,2.31428571428571,0.544087903810276,0.706809508026466,1,15
DB04700,1.97142857142857,-0.533663416794805,0.296787211992909,1,28
DB02772,1.94285714285714,-0.569490360807495,0.284511705185632,1,30
