,mean_proximity,z-score,p-value,No.of.Targets,Mean_degrees
DB13877,1.894736842,-0.92463969,0.17757668,1,134
DB01197,1.947368421,-0.556986114,0.288768458,1,26
DB02062,1.947368421,-0.489716928,0.312167111,1,26
DB02352,1.947368421,-0.728470036,0.233162952,1,26
DB03424,1.947368421,-0.56521327,0.285964356,1,26
DB05177,1.947368421,-0.626634191,0.265449525,1,26
DB06828,1.947368421,-0.537831135,0.295346818,1,26
DB06851,1.947368421,-0.689120144,0.245373832,1,26
DB06917,1.947368421,-0.498422417,0.30909317,1,26
DB07094,1.947368421,-0.511838264,0.304382104,1,26
DB07099,1.947368421,-0.542111617,0.293870808,1,26
DB07102,1.947368421,-0.608510152,0.271424587,1,26
DB07104,1.947368421,-0.517865707,0.302275985,1,26
DB07196,1.947368421,-0.455237284,0.32446927,1,26
DB07237,1.947368421,-0.600515048,0.274081518,1,26
DB07258,1.947368421,-0.620892581,0.267335151,1,26
DB07259,1.947368421,-0.593133994,0.276545741,1,26
DB07260,1.947368421,-0.642491471,0.260277063,1,26
DB07292,1.947368421,-0.558883462,0.288120629,1,26
DB08040,1.947368421,-0.639638591,0.261203794,1,26
DB08466,1.947368421,-0.629526269,0.264502288,1,26
DB00945,1.447368421,-2.494263684,0.006310937,1,262
DB01254,1.394736842,-2.828302449,0.002339779,1,267
DB07045,1.394736842,-2.578598481,0.004960101,1,267
DB03496,2,-0.456702107,0.323942588,1,15
DB03415,1.842105263,-1.063219614,0.143841185,1,48
DB03085,1.894736842,-0.787664793,0.215446402,1,35
DB05107,1.894736842,-0.735176045,0.231116143,1,35
DB02358,2.026315789,-0.306203143,0.37972499,1,38
DB04322,2.026315789,-0.254318867,0.399624613,1,38
DB08373,2.026315789,-0.374495331,0.354017915,1,5
DB03017,2.078947368,-0.021554587,0.49140163,1,17
DB03704,2.078947368,-0.026146518,0.489570237,1,17
DB04153,2.078947368,-0.15902154,0.436825952,1,17
DB00720,1.631578947,-2.019061602,0.021740409,1,171
DB00148,1.947368421,-0.537431441,0.295484815,1,33
DB13191,1.947368421,-0.439627903,0.330103314,1,33
DB03994,2.078947368,-0.000877687,0.499649854,1,10
DB09095,2.078947368,-0.086353053,0.465592883,1,10
DB06773,1.789473684,-1.165369884,0.121934651,1,83
DB03223,1.657894737,-2.186039224,0.014406368,1,159
DB08348,1.657894737,-1.546034824,0.061048079,1,159
DB11823,1.657894737,-1.783797222,0.037228311,1,159
DB12688,1.657894737,-1.578589346,0.05721514,1,159
DB05798,1.921052632,-0.824228218,0.204904948,1,21
DB00282,2.078947368,-0.06579911,0.473768882,1,21
DB00399,2.078947368,-0.010200613,0.495930615,1,21
DB00710,2.078947368,0.059714436,0.523808463,1,21
DB00884,2.078947368,-0.008559565,0.496585269,1,21
DB01785,2.078947368,0.109241381,0.54349448,1,21
DB02508,2.078947368,-0.077661879,0.469048509,1,21
DB02552,2.078947368,0.058360451,0.523269242,1,21
DB04714,2.078947368,0.142448721,0.556637209,1,21
DB06255,2.078947368,-0.04805421,0.48083652,1,21
DB06548,2.078947368,-0.041671085,0.483380452,1,21
DB07780,2.078947368,-0.02212086,0.491175773,1,21
DB07841,2.078947368,-0.085663582,0.465866926,1,21
DB00119,1.815789474,-1.251298867,0.105412729,1,93
DB01733,1.815789474,-1.000294758,0.158583942,1,93
DB07628,1.815789474,-1.052976384,0.146175908,1,93
DB07692,1.815789474,-1.078784896,0.140341815,1,93
DB07697,1.815789474,-1.220139446,0.111206009,1,93
DB02103,1.736842105,-1.353334273,0.087974432,1,89
DB02935,1.736842105,-1.643728898,0.050116107,1,89
DB03719,1.736842105,-1.321818751,0.093114256,1,89
DB00435,2.763157895,1.85477521,0.968185833,1,2
DB00130,1.947368421,-0.680443899,0.248111716,1,18
DB01689,1.947368421,-0.594327305,0.27614661,1,27
DB02020,1.947368421,-0.623364575,0.266522486,1,27
DB02101,1.947368421,-0.54559417,0.292672466,1,27
DB02132,1.947368421,-0.502949611,0.30749985,1,27
DB02518,1.947368421,-0.570047853,0.284322621,1,27
DB02712,1.947368421,-0.566572627,0.285502288,1,27
DB02834,1.947368421,-0.474424285,0.317598689,1,27
DB02994,1.947368421,-0.556395161,0.288970373,1,27
DB05327,1.947368421,-0.565527057,0.285857663,1,27
DB05383,1.947368421,-0.55146963,0.29065589,1,27
DB05533,1.947368421,-0.625349258,0.265870929,1,27
DB07028,1.947368421,-0.569905385,0.284370936,1,27
DB07030,1.947368421,-0.44808283,0.32704671,1,27
DB07063,1.947368421,-0.556954137,0.288779382,1,27
DB07093,1.947368421,-0.564000067,0.286377043,1,27
DB07139,1.947368421,-0.570549366,0.284152575,1,27
DB07187,1.947368421,-0.705998983,0.240094385,1,27
DB07450,1.947368421,-0.597977511,0.274927469,1,27
DB07498,1.947368421,-0.641640522,0.260553308,1,27
DB07999,1.947368421,-0.429058581,0.333940297,1,27
DB08000,1.947368421,-0.487091077,0.313096895,1,27
DB08084,1.947368421,-0.565313594,0.285930242,1,27
DB08098,1.947368421,-0.568283367,0.284921286,1,27
DB08449,1.947368421,-0.563616511,0.286507574,1,27
DB00170,2,-0.389922388,0.348296969,1,9
DB01927,2,-0.422800902,0.336220265,1,9
DB02395,2,-0.393670689,0.346912092,1,9
DB02400,2,-0.361345361,0.358920644,1,9
DB03626,2,-0.310285765,0.378171828,1,9
DB04090,2,-0.398097555,0.345279138,1,9
DB04392,2,-0.375790952,0.353536158,1,9
DB07385,2,-0.261354871,0.396909428,1,9
