"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83"
"FoxO signaling pathway_Homo sapiens_hsa04068",NA,21271,150,83,132,3,0.0227272727272727,0.00178279340493928,0.522358467647208,"GABARAPL2","MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oxidative phosphorylation_Homo sapiens_hsa00190",NA,21271,150,83,132,3,0.0227272727272727,0.00178279340493928,0.522358467647208,"PPA1","COX7A1","NDUFA3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Glioma_Homo sapiens_hsa05214",NA,21271,150,83,64,2,0.03125,0.00201065976319341,0.589123310615668,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long-term potentiation_Homo sapiens_hsa04720",NA,21271,150,83,65,2,0.0307692307692308,0.00210205936964942,0.615903395307279,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aminoacyl-tRNA biosynthesis_Homo sapiens_hsa00970",NA,21271,150,83,65,2,0.0307692307692308,0.00210205936964942,0.615903395307279,"SARS","GARS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fc epsilon RI signaling pathway_Homo sapiens_hsa04664",NA,21271,150,83,67,2,0.0298507462686567,0.00229252051783998,0.671708511727113,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PPAR signaling pathway_Homo sapiens_hsa03320",NA,21271,150,83,68,2,0.0294117647058824,0.00239163060613698,0.700747767598136,"GK","ME1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"One carbon pool by folate_Homo sapiens_hsa00670",NA,21271,150,83,19,1,0.0526315789473684,0.00246380741792667,0.721895573452515,"ALDH1L1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hepatitis B_Homo sapiens_hsa05161",NA,21271,150,83,145,3,0.0206896551724138,0.00250889232786464,0.735105452064339,"MAP2K2","MAP2K1","CASP8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Inositol phosphate metabolism_Homo sapiens_hsa00562",NA,21271,150,83,70,2,0.0285714285714286,0.00259772825588755,0.761134378975052,"TPI1","IMPA2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
