"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83"
"Drug metabolism - cytochrome P450_Homo sapiens_hsa00982",NA,21271,150,83,68,0,0,0.233773318799795,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Retinol metabolism_Homo sapiens_hsa00830",NA,21271,150,83,64,0,0,0.221658720758189,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Steroid hormone biosynthesis_Homo sapiens_hsa00140",NA,21271,150,83,57,0,0,0.200001165493916,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Drug metabolism - other enzymes_Homo sapiens_hsa00983",NA,21271,150,83,45,1,0.0222222222222222,0.0133592955886326,1,"XDH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Porphyrin and chlorophyll metabolism_Homo sapiens_hsa00860",NA,21271,150,83,41,0,0,0.148237225164088,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ascorbate and aldarate metabolism_Homo sapiens_hsa00053",NA,21271,150,83,26,1,0.0384615384615385,0.00460055119280391,1,"ALDH9A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pentose and glucuronate interconversions_Homo sapiens_hsa00040",NA,21271,150,83,35,1,0.0285714285714286,0.0082335434268779,1,"UGP2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Butirosin and neomycin biosynthesis_Homo sapiens_hsa00524",NA,21271,150,83,4,0,0,0.0155180754390943,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Citrate cycle (TCA cycle)_Homo sapiens_hsa00020",NA,21271,150,83,29,1,0.0344827586206897,0.00570379757949836,1,"ACLY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Glycine, serine and threonine metabolism_Homo sapiens_hsa00260",NA,21271,150,83,39,1,0.0256410256410256,0.0101511579863351,1,"PGAM1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pantothenate and CoA biosynthesis_Homo sapiens_hsa00770",NA,21271,150,83,17,0,0,0.0643270369558503,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Phenylalanine, tyrosine and tryptophan biosynthesis_Homo sapiens_hsa00400",NA,21271,150,83,4,0,0,0.0155180754390943,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Phenylalanine metabolism_Homo sapiens_hsa00360",NA,21271,150,83,16,0,0,0.0606589443839316,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tyrosine metabolism_Homo sapiens_hsa00350",NA,21271,150,83,34,0,0,0.124562773255605,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ubiquinone and other terpenoid-quinone biosynthesis_Homo sapiens_hsa00130",NA,21271,150,83,10,0,0,0.0383501537471527,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Synthesis and degradation of ketone bodies_Homo sapiens_hsa00072",NA,21271,150,83,9,0,0,0.0345814707480032,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Butanoate metabolism_Homo sapiens_hsa00650",NA,21271,150,83,27,0,0,0.10023844325866,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"beta-Alanine metabolism_Homo sapiens_hsa00410",NA,21271,150,83,30,1,0.0333333333333333,0.00609581558705852,1,"ALDH9A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Histidine metabolism_Homo sapiens_hsa00340",NA,21271,150,83,23,1,0.0434782608695652,0.00360859652879558,1,"ALDH9A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arginine and proline metabolism_Homo sapiens_hsa00330",NA,21271,150,83,49,1,0.0204081632653061,0.0157107212963563,1,"ALDH9A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tryptophan metabolism_Homo sapiens_hsa00380",NA,21271,150,83,39,1,0.0256410256410256,0.0101511579863351,1,"ALDH9A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lysine degradation_Homo sapiens_hsa00310",NA,21271,150,83,51,1,0.0196078431372549,0.0169481050137177,1,"ALDH9A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fatty acid elongation_Homo sapiens_hsa00062",NA,21271,150,83,24,1,0.0416666666666667,0.00392671580475487,1,"HADHB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Biosynthesis of unsaturated fatty acids_Homo sapiens_hsa01040",NA,21271,150,83,22,0,0,0.0824562976225518,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Primary bile acid biosynthesis_Homo sapiens_hsa00120",NA,21271,150,83,16,0,0,0.0606589443839316,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spliceosome_Homo sapiens_hsa03040",NA,21271,150,83,133,1,0.0075187969924812,0.0952469813409835,1,"HSPA2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNA transport_Homo sapiens_hsa03013",NA,21271,150,83,171,0,0,0.488927031646059,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008",NA,21271,150,83,88,1,0.0113636363636364,0.0464011171756815,1,"TCOF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ribosome_Homo sapiens_hsa03010",NA,21271,150,83,136,0,0,0.413399611499258,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Folate biosynthesis_Homo sapiens_hsa00790",NA,21271,150,83,13,0,0,0.0495692130990815,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sulfur relay system_Homo sapiens_hsa04122",NA,21271,150,83,9,0,0,0.0345814707480032,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sulfur metabolism_Homo sapiens_hsa00920",NA,21271,150,83,9,0,0,0.0345814707480032,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Selenocompound metabolism_Homo sapiens_hsa00450",NA,21271,150,83,16,0,0,0.0606589443839316,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
