"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67"
"histone lysine methylation (GO:0034968)",NA,21271,74,67,57,0,0,0.164780805234681,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of neural precursor cell proliferation (GO:2000177)",NA,21271,74,67,64,0,0,0.18307439271512,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of dendrite development (GO:2000171)",NA,21271,74,67,15,0,0,0.0462346461049716,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"one-carbon compound transport (GO:0019755)",NA,21271,74,67,8,1,0.125,0.00027033975173571,1,"AQP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of neural precursor cell proliferation (GO:2000178)",NA,21271,74,67,18,0,0,0.0552256210840805,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of neural precursor cell proliferation (GO:2000179)",NA,21271,74,67,34,0,0,0.101785709687236,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"protein methylation (GO:0006479)",NA,21271,74,67,100,0,0,0.271099159051245,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"necrotic cell death (GO:0070265)",NA,21271,74,67,18,0,0,0.0552256210840805,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of protein localization to nucleus (GO:1900181)",NA,21271,74,67,58,1,0.0172413793103448,0.0144224520335513,1,"CHP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"activation of MAPK activity (GO:0000187)",NA,21271,74,67,132,1,0.00757575757575758,0.0650749750642325,1,"CD81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"necroptotic process (GO:0070266)",NA,21271,74,67,12,0,0,0.0371593972504115,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of action potential (GO:0098900)",NA,21271,74,67,14,0,0,0.0432189651842086,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"proteolysis involved in cellular protein catabolic process (GO:0051603)",NA,21271,74,67,390,3,0.00769230769230769,0.0345585461719247,1,"SQSTM1","DNAJC3","OS9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"myotube differentiation (GO:0014902)",NA,21271,74,67,11,0,0,0.0341154525335604,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of actin filament-based process (GO:0032970)",NA,21271,74,67,256,1,0.00390625,0.192947813103482,1,"DAPK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"modification-dependent protein catabolic process (GO:0019941)",NA,21271,74,67,363,2,0.00550964187327824,0.106638258241676,1,"OS9","SQSTM1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of endothelial cell apoptotic process (GO:2000351)",NA,21271,74,67,30,0,0,0.0903620950460976,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of endothelial cell apoptotic process (GO:2000352)",NA,21271,74,67,19,0,0,0.0582040186461833,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of endothelial cell apoptotic process (GO:2000353)",NA,21271,74,67,10,0,0,0.0310620287022758,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to vascular endothelial growth factor stimulus (GO:0035924)",NA,21271,74,67,24,0,0,0.0729578257883019,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pyrimidine nucleoside salvage (GO:0043097)",NA,21271,74,67,9,0,0,0.0279990966863781,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cornea development in camera-type eye (GO:0061303)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"epithelial to mesenchymal transition involved in endocardial cushion formation (GO:0003198)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of respiratory system process (GO:0044065)",NA,21271,74,67,15,0,0,0.0462346461049716,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of endocrine process (GO:0044060)",NA,21271,74,67,34,0,0,0.101785709687236,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of excretion (GO:0044062)",NA,21271,74,67,24,1,0.0416666666666667,0.00257947650675633,1,"AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of lymphocyte activation (GO:0051251)",NA,21271,74,67,242,0,0,0.535979453111822,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of lymphocyte activation (GO:0051250)",NA,21271,74,67,101,0,0,0.273405916235297,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation vascular endothelial growth factor production (GO:0010575)",NA,21271,74,67,22,0,0,0.0670838263233159,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of vascular endothelial growth factor production (GO:0010574)",NA,21271,74,67,26,0,0,0.0787953888796283,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"modulation by symbiont of host cellular process (GO:0044068)",NA,21271,74,67,11,0,0,0.0341154525335604,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mitotic cell cycle phase transition (GO:0044772)",NA,21271,74,67,276,1,0.0036231884057971,0.215923294454927,1,"BCAT1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of membrane depolarization (GO:0003254)",NA,21271,74,67,33,0,0,0.0989431251399334,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"respiratory chain complex IV assembly (GO:0008535)",NA,21271,74,67,12,0,0,0.0371593972504115,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cytokine production (GO:0001816)",NA,21271,74,67,67,0,0,0.190793142129266,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of cytokine production (GO:0001817)",NA,21271,74,67,481,6,0.0124740124740125,0.000780729694493242,1,"LEF1","NLRX1","ATP6AP2","HMOX1","AGT","TAX1BP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to topologically incorrect protein (GO:0035967)",NA,21271,74,67,91,1,0.010989010989011,0.0334399248015578,1,"DNAJC3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mitotic DNA damage checkpoint (GO:0044773)",NA,21271,74,67,31,0,0,0.0932313450640775,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cerebellum development (GO:0021549)",NA,21271,74,67,29,0,0,0.0874839019111785,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of double-strand break repair (GO:2000779)",NA,21271,74,67,23,0,0,0.0700253945682372,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of cell morphogenesis involved in differentiation (GO:0010771)",NA,21271,74,67,87,0,0,0.240446710859245,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of cell morphogenesis involved in differentiation (GO:0010770)",NA,21271,74,67,122,1,0.00819672131147541,0.0566655106092231,1,"LEF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of cell migration involved in sprouting angiogenesis (GO:0090049)",NA,21271,74,67,14,0,0,0.0432189651842086,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of cellular senescence (GO:2000772)",NA,21271,74,67,15,0,0,0.0462346461049716,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of cytokine production (GO:0001818)",NA,21271,74,67,184,4,0.0217391304347826,0.000286990825531649,1,"LEF1","NLRX1","HMOX1","TAX1BP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of cytokine production (GO:0001819)",NA,21271,74,67,326,3,0.00920245398773006,0.0195031651294273,1,"ATP6AP2","HMOX1","AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"interferon-gamma production (GO:0032609)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"tooth mineralization (GO:0034505)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"neurotransmitter-gated ion channel clustering (GO:0072578)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of dopamine metabolic process (GO:0042053)",NA,21271,74,67,14,0,0,0.0432189651842086,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"protein localization to kinetochore (GO:0034501)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"protein localization to chromosome (GO:0034502)",NA,21271,74,67,25,0,0,0.0758811479360018,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vasodilation (GO:0042311)",NA,21271,74,67,23,1,0.0434782608695652,0.00236932493504177,1,"AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of epidermal growth factor receptor signaling pathway (GO:0042059)",NA,21271,74,67,42,0,0,0.124210618224339,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of epidermal growth factor receptor signaling pathway (GO:0042058)",NA,21271,74,67,70,1,0.0142857142857143,0.0205684413839741,1,"AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of potassium ion transport (GO:0043267)",NA,21271,74,67,18,0,0,0.0552256210840805,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of potassium ion transport (GO:0043266)",NA,21271,74,67,50,0,0,0.146083814379843,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"detection of external biotic stimulus (GO:0098581)",NA,21271,74,67,19,1,0.0526315789473684,0.00161446496623336,1,"C4B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"zinc ion transmembrane transport (GO:0071577)",NA,21271,74,67,14,0,0,0.0432189651842086,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to insulin (GO:0032868)",NA,21271,74,67,245,1,0.00408163265306122,0.18046175858609,1,"PPARG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"forelimb morphogenesis (GO:0035136)",NA,21271,74,67,39,0,0,0.115866659936485,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of interferon-gamma production (GO:0032729)",NA,21271,74,67,51,0,0,0.148779841166354,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cerebral cortex development (GO:0021987)",NA,21271,74,67,42,0,0,0.124210618224339,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"secondary heart field specification (GO:0003139)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of potassium ion transport (GO:0043268)",NA,21271,74,67,22,0,0,0.0670838263233159,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"antigen processing and presentation via MHC class Ib (GO:0002475)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)",NA,21271,74,67,103,1,0.00970873786407767,0.0418810811870634,1,"ITGB5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of ATPase activity (GO:0043462)",NA,21271,74,67,41,0,0,0.121437954207944,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"histone H3 acetylation (GO:0043966)",NA,21271,74,67,45,1,0.0222222222222222,0.0088672665498368,1,"LEF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of dendrite development (GO:1900006)",NA,21271,74,67,38,0,0,0.113067976492081,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of hematopoietic progenitor cell differentiation (GO:1901533)",NA,21271,74,67,9,0,0,0.0279990966863781,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of hematopoietic progenitor cell differentiation (GO:1901532)",NA,21271,74,67,24,0,0,0.0729578257883019,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"histone H4 acetylation (GO:0043967)",NA,21271,74,67,46,1,0.0217391304347826,0.00925161791581632,1,"LEF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)",NA,21271,74,67,74,1,0.0135135135135135,0.0228202991497616,1,"ITGB5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"antigen processing and presentation of exogenous peptide antigen (GO:0002478)",NA,21271,74,67,170,1,0.00588235294117647,0.100322791379277,1,"ITGB5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of hematopoietic progenitor cell differentiation (GO:1901534)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of endothelial cell differentiation (GO:0045603)",NA,21271,74,67,9,0,0,0.0279990966863781,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of endothelial cell differentiation (GO:0045601)",NA,21271,74,67,13,0,0,0.0401938918354918,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of fat cell differentiation (GO:0045600)",NA,21271,74,67,37,1,0.027027027027027,0.00606252919289596,1,"PPARG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of calcium ion transmembrane transporter activity (GO:1901021)",NA,21271,74,67,18,0,0,0.0552256210840805,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of epidermal cell differentiation (GO:0045606)",NA,21271,74,67,14,0,0,0.0432189651842086,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of epidermal cell differentiation (GO:0045605)",NA,21271,74,67,10,0,0,0.0310620287022758,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of epidermal cell differentiation (GO:0045604)",NA,21271,74,67,36,0,0,0.107444403408938,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of urine volume (GO:0035810)",NA,21271,74,67,12,0,0,0.0371593972504115,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of renal sodium excretion (GO:0035813)",NA,21271,74,67,21,1,0.0476190476190476,0.00197463672289556,1,"AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of receptor recycling (GO:0001921)",NA,21271,74,67,9,1,0.111111111111111,0.000346872460197721,1,"ECE1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of renal sodium excretion (GO:0035815)",NA,21271,74,67,13,1,0.0769230769230769,0.000745462229447388,1,"AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901028)",NA,21271,74,67,40,1,0.025,0.00705729588288795,1,"BBC3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of cell migration (GO:0030336)",NA,21271,74,67,165,2,0.0121212121212121,0.015280866332073,1,"GTPBP4","HMOX1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of cell migration (GO:0030335)",NA,21271,74,67,279,3,0.010752688172043,0.0116334618323918,1,"LEF1","AQP1","AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of JAK-STAT cascade (GO:0046426)",NA,21271,74,67,12,0,0,0.0371593972504115,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of p38MAPK cascade (GO:1900745)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of JAK-STAT cascade (GO:0046425)",NA,21271,74,67,75,2,0.0266666666666667,0.00171527144674699,1,"AGT","CRLF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gene silencing by RNA (GO:0031047)",NA,21271,74,67,34,0,0,0.101785709687236,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DNA-templated transcription, termination (GO:0006353)",NA,21271,74,67,85,0,0,0.235619588037717,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to reactive oxygen species (GO:0034614)",NA,21271,74,67,88,1,0.0113636363636364,0.0314476491899918,1,"AQP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ribonucleoprotein complex subunit organization (GO:0071826)",NA,21271,74,67,144,0,0,0.366076832671092,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to laminar fluid shear stress (GO:0034616)",NA,21271,74,67,14,0,0,0.0432189651842086,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to interferon-gamma (GO:0034341)",NA,21271,74,67,107,1,0.00934579439252336,0.0448548899592245,1,"DAPK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of T cell mediated immunity (GO:0002710)",NA,21271,74,67,11,0,0,0.0341154525335604,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of T cell mediated immunity (GO:0002711)",NA,21271,74,67,33,0,0,0.0989431251399334,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of B cell mediated immunity (GO:0002712)",NA,21271,74,67,40,0,0,0.118656643630167,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of B cell mediated immunity (GO:0002713)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of B cell mediated immunity (GO:0002714)",NA,21271,74,67,26,0,0,0.0787953888796283,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of natural killer cell mediated immunity (GO:0002715)",NA,21271,74,67,23,0,0,0.0700253945682372,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lamellipodium organization (GO:0097581)",NA,21271,74,67,35,0,0,0.104619460096944,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of natural killer cell mediated immunity (GO:0002717)",NA,21271,74,67,18,0,0,0.0552256210840805,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of cytokine production involved in immune response (GO:0002718)",NA,21271,74,67,48,1,0.0208333333333333,0.0100422858528792,1,"HMOX1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of cytokine production involved in immune response (GO:0002719)",NA,21271,74,67,17,1,0.0588235294117647,0.00128924902532898,1,"HMOX1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of developmental pigmentation (GO:0048070)",NA,21271,74,67,16,0,0,0.0492409633194504,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of heart morphogenesis (GO:2000826)",NA,21271,74,67,19,0,0,0.0582040186461833,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
