"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67"
"single-organism nuclear import (GO:1902593)",NA,21271,74,67,70,3,0.0428571428571429,7.0490228416588e-05,0.365985265938925,"AGT","TCF7L2","TXNIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"protein import into nucleus (GO:0006606)",NA,21271,74,67,70,3,0.0428571428571429,7.0490228416588e-05,0.365985265938925,"AGT","TCF7L2","TXNIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of response to wounding (GO:1903035)",NA,21271,74,67,137,4,0.0291970802919708,7.21978670117646e-05,0.374851325525082,"NLRX1","SERPINE2","PPARG","HMGCR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of protein stability (GO:0031647)",NA,21271,74,67,137,4,0.0291970802919708,7.21978670117646e-05,0.374851325525082,"GTPBP4","CHP1","ID1","HIST1H1B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"carboxylic acid transport (GO:0046942)",NA,21271,74,67,223,5,0.0224215246636771,7.26732162568779e-05,0.37731933880571,"PPARG","PLIN2","SLC1A3","SLC3A2","SLC25A26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"apoptotic signaling pathway (GO:0097190)",NA,21271,74,67,326,6,0.0184049079754601,7.36447008895341e-05,0.382363287018461,"HMOX1","BBC3","SQSTM1","TMEM109","MCL1","DAPK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to interleukin-4 (GO:0071353)",NA,21271,74,67,26,2,0.0769230769230769,7.37330214124298e-05,0.382821847173335,"TCF7","LEF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of fatty acid metabolic process (GO:0019217)",NA,21271,74,67,71,3,0.0422535211267606,7.45222990507228e-05,0.386919776671353,"AGT","PPARG","ABCD2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"organic anion transport (GO:0015711)",NA,21271,74,67,327,6,0.018348623853211,7.50699509122163e-05,0.389763185136227,"AQP1","PPARG","PLIN2","SLC1A3","SLC3A2","SLC25A26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"organic acid transport (GO:0015849)",NA,21271,74,67,225,5,0.0222222222222222,7.63435647329433e-05,0.396375788093442,"PPARG","PLIN2","SLC1A3","SLC3A2","SLC25A26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cell-substrate adhesion (GO:0031589)",NA,21271,74,67,139,4,0.0287769784172662,7.73317863449754e-05,0.401506634703112,"AGT","SIGLEC1","ITGA7","ITGB5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
