"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38"
"NITROGEN_COMPOUND_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/NITROGEN_COMPOUND_METABOLIC_PROCESS",33727,74,38,155,3,0.0193548387096774,2.80427521533389e-05,0.0231352705265046,"SULT1A1","CHST12","BCAT1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CELLULAR_PROTEIN_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/CELLULAR_PROTEIN_METABOLIC_PROCESS",33727,74,38,1117,7,0.0062667860340197,2.85041064181126e-05,0.0235158877949429,"GTPBP4","CHST12","CD81","ATP6AP2","SQSTM1","PIGS","DAPK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FEMALE_PREGNANCY","http://www.broadinstitute.org/gsea/msigdb/cards/FEMALE_PREGNANCY",33727,74,38,53,2,0.0377358490566038,2.97299656604192e-05,0.0245272216698458,"FCGRT","AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_MOLECULAR_FUNCTION","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_MOLECULAR_FUNCTION",33727,74,38,324,4,0.0123456790123457,3.06973699696437e-05,0.025325330224956,"GTPBP4","BBC3","CD81","ID1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CELLULAR_MACROMOLECULE_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/CELLULAR_MACROMOLECULE_METABOLIC_PROCESS",33727,74,38,1131,7,0.00618921308576481,3.11474269260352e-05,0.025696627213979,"GTPBP4","CHST12","CD81","ATP6AP2","SQSTM1","PIGS","DAPK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LIPID_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/LIPID_METABOLIC_PROCESS",33727,74,38,325,4,0.0123076923076923,3.11515822507965e-05,0.0257000553569071,"PPARG","ABCD2","PIGS","CD81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MULTI_ORGANISM_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/MULTI_ORGANISM_PROCESS",33727,74,38,165,3,0.0181818181818182,3.58067202700951e-05,0.0295405442228285,"FCGRT","CD81","AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_TRANSCRIPTION","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_TRANSCRIPTION",33727,74,38,566,5,0.0088339222614841,3.80480939001173e-05,0.0313896774675968,"TCF7","ID1","PPARG","SQSTM1","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_BINDING","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_BINDING",33727,74,38,58,2,0.0344827586206897,3.90074467736378e-05,0.0321811435882512,"GTPBP4","ID1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_PROTEIN_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_PROTEIN_METABOLIC_PROCESS",33727,74,38,173,3,0.0173410404624277,4.30680020256382e-05,0.0355311016711515,"ATP6AP2","GTPBP4","CD81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
