"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9"
"chr16p12","http://www.broadinstitute.org/gsea/msigdb/cards/chr16p12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1q32","http://www.broadinstitute.org/gsea/msigdb/cards/chr1q32",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr8p23","http://www.broadinstitute.org/gsea/msigdb/cards/chr8p23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chrxq23","http://www.broadinstitute.org/gsea/msigdb/cards/chrxq23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2p15","http://www.broadinstitute.org/gsea/msigdb/cards/chr2p15",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr18q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr18q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr17p13","http://www.broadinstitute.org/gsea/msigdb/cards/chr17p13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr14q","http://www.broadinstitute.org/gsea/msigdb/cards/chr14q",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr11p14","http://www.broadinstitute.org/gsea/msigdb/cards/chr11p14",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1q","http://www.broadinstitute.org/gsea/msigdb/cards/chr1q",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr9q32","http://www.broadinstitute.org/gsea/msigdb/cards/chr9q32",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr20q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr20q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr14q32","http://www.broadinstitute.org/gsea/msigdb/cards/chr14q32",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7p22","http://www.broadinstitute.org/gsea/msigdb/cards/chr7p22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr5q","http://www.broadinstitute.org/gsea/msigdb/cards/chr5q",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr21q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr21q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2p13","http://www.broadinstitute.org/gsea/msigdb/cards/chr2p13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr16q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr16q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3p","http://www.broadinstitute.org/gsea/msigdb/cards/chr3p",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr10q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr10q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr17p11","http://www.broadinstitute.org/gsea/msigdb/cards/chr17p11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr15q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr15q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr10q","http://www.broadinstitute.org/gsea/msigdb/cards/chr10q",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1q31","http://www.broadinstitute.org/gsea/msigdb/cards/chr1q31",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr10q24","http://www.broadinstitute.org/gsea/msigdb/cards/chr10q24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr13q14","http://www.broadinstitute.org/gsea/msigdb/cards/chr13q14",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr11p","http://www.broadinstitute.org/gsea/msigdb/cards/chr11p",12,12,12,12,12,12,12,12,"","","","","","","","",""
