Gene,logFC,logCPM,LR,PValue,FDR
TMCO5A,-0.928166627,1.685959148,15.06830894,0.00010369,0.001268531
CFAP126,-0.928233282,6.805600705,25.84555113,3.70E-07,1.79E-05
LRRC63,-0.92881021,0.285164811,8.898428248,0.002854162,0.014091478
C2orf73,-0.929424496,4.123135031,19.3809562,1.07E-05,0.000233249
CFAP58,-0.929444592,5.019244864,21.14917334,4.25E-06,0.000115501
BBOF1,-0.929497744,7.198114983,19.37093573,1.08E-05,0.000234153
HRAT5,-0.930953203,-0.53845323,17.7943799,2.46E-05,0.000430937
LOC105379047,-0.931015823,0.945481897,11.0087127,0.000906846,0.006076676
ROPN1B,-0.931247185,2.157974792,16.77956995,4.20E-05,0.000650714
IQCH,-0.932336317,4.690782715,23.31517402,1.38E-06,4.99E-05
CCDC65,-0.932678291,6.287443622,23.2780828,1.40E-06,5.06E-05
LOC101928118,-0.933968476,2.328945415,14.7250176,0.000124385,0.00144451
CABCOCO1,-0.93439525,5.677430878,17.013692,3.71E-05,0.000590862
CFAP53,-0.935917141,6.662198272,22.99315246,1.63E-06,5.66E-05
CFAP206,-0.93624522,6.424324503,16.75389457,4.26E-05,0.000657848
VWA8-AS1,-0.936343043,2.069547224,18.07480275,2.12E-05,0.000385137
CCDC89,-0.936447089,4.562596073,15.15916028,9.88E-05,0.001228919
MAPK15,-0.937283165,6.573854151,17.28312829,3.22E-05,0.000528711
ENO4,-0.937390593,4.553802877,20.16419401,7.11E-06,0.000172162
LOC105373887,-0.93756912,0.726669606,18.33710438,1.85E-05,0.000347144
C7orf57,-0.938113245,5.663085374,20.09650879,7.36E-06,0.000177006
CCDC81,-0.938173959,5.846084631,20.33203655,6.51E-06,0.000160909
MNS1,-0.941570451,6.197858168,18.5579853,1.65E-05,0.00032256
C1orf194,-0.943510412,6.605844905,24.33132645,8.11E-07,3.29E-05
C11orf97,-0.94512541,4.296604054,21.45835274,3.62E-06,0.000101802
LOC107984964,-0.945515137,0.519836271,11.91748028,0.000556096,0.004202386
LOC107984965,-0.947798588,-0.202254574,15.27342439,9.30E-05,0.001177285
LOC107986669,-0.950514648,6.054536928,16.15530284,5.84E-05,0.000840929
DPCD,-0.952095727,6.007895554,26.26476576,2.98E-07,1.49E-05
FAM47E,-0.953466206,5.577350793,28.96986528,7.35E-08,4.86E-06
LOC101929974,-0.953672558,-0.080465,13.34040974,0.000259748,0.002479517
FNDC11,-0.95524645,2.835312115,19.50951539,1.00E-05,0.000222449
C9orf135,-0.958833385,5.633854117,18.31548277,1.87E-05,0.000349446
USP2-AS1,-0.960242456,2.082445311,15.87635633,6.76E-05,0.000931092
WDR78,-0.964979621,7.439916103,19.56337624,9.73E-06,0.000218018
PRH2,-0.965156199,2.366159782,9.168223947,0.002462534,0.012652332
PZP,-0.967898824,5.259038551,13.26449133,0.000270481,0.002543244
TEX26,-0.970178273,5.336010695,16.27619233,5.47E-05,0.000802862
SPEF1,-0.972109684,5.813913623,23.07742788,1.56E-06,5.47E-05
LOC105372023,-0.972195248,0.975737309,17.69353691,2.60E-05,0.000448921
C1orf189,-0.972431193,4.76328087,13.6084448,0.00022517,0.002224103
FAM216B,-0.972533947,8.532986842,16.08316793,6.06E-05,0.000864115
LINC02602,-0.973812436,0.457171839,9.040764647,0.002640252,0.013344044
LOC102724945,-0.97436128,0.109875683,15.04040047,0.000105234,0.001281471
LOC100652777,-0.974377731,0.844862907,12.8208049,0.000342786,0.003027945
AK7,-0.974866658,6.792378019,19.96275406,7.90E-06,0.000186146
CCDC78,-0.974870473,7.412989269,15.71479114,7.36E-05,0.000990771
ANKRD66,-0.976015725,5.625023709,17.66633513,2.63E-05,0.000453401
EFHC2,-0.976064966,6.092727759,15.68157781,7.50E-05,0.001004899
FTO-IT1,-0.977176634,2.136536317,14.06113335,0.000176963,0.00187204
TNNT3,-0.977197626,4.666354736,43.71356697,3.80E-11,8.58E-09
ELOA-AS1,-0.977614318,1.803570292,22.56593509,2.03E-06,6.71E-05
DST-AS1,-0.978123986,-0.177451094,18.23788814,1.95E-05,0.000359723
GIHCG,-0.980029504,4.258253452,16.32257718,5.34E-05,0.000787837
RSPH14,-0.981518083,3.977479107,13.91451253,0.000191316,0.001982702
CES1P2,-0.983492914,2.312972442,21.1773264,4.19E-06,0.000114238
LINC02526,-0.983558536,-0.283111982,17.33474521,3.13E-05,0.000519402
EFHB,-0.984161257,6.129921539,20.42811247,6.19E-06,0.000155216
AQP7,-0.984302466,2.892599551,21.8999976,2.87E-06,8.56E-05
CLDN8,-0.986346442,2.810632579,20.06674914,7.48E-06,0.000179236
WFDC6,-0.986938506,3.040886841,11.19405884,0.000820596,0.00564236
LOC107984576,-0.989586184,1.032834612,29.56322072,5.41E-08,3.77E-06
CCL14,-0.991623466,0.094266874,19.35172123,1.09E-05,0.000236196
LINC01571,-0.992829696,0.956783513,10.3590946,0.001288384,0.007829447
FAM229B,-0.996651528,5.610932704,15.43973775,8.52E-05,0.001102925
IQCG,-0.997014917,7.441392428,27.52768154,1.55E-07,8.77E-06
SIAH3,-0.997021833,0.103098364,24.8105932,6.32E-07,2.64E-05
