Gene,logFC,logCPM,LR,PValue,FDR,gid
SPRY1,0.829960034,3.061447332,11.78180553,0.000598124,0.004867818,SPRY1
ABCD1,0.829596942,2.15827544,17.67685451,2.62E-05,0.000604645,ABCD1
MN1,0.828029689,1.969690439,7.225211982,0.007188668,0.029213031,MN1
STARD5,0.825356697,3.474244024,15.91729685,6.62E-05,0.00110566,STARD5
STON1,0.825177981,0.704730563,6.208089247,0.012716782,0.043634868,STON1
RBM33,0.825082529,5.292836341,28.15207797,1.12E-07,2.83E-05,RBM33
FAM193A,0.823954194,4.497252738,19.69741493,9.07E-06,0.000319479,FAM193A
USP42,0.823788966,4.1862074,23.05928533,1.57E-06,0.000131818,USP42
SERPINB9P1,0.823601497,0.330616986,4.052569781,0.044104158,0.107658905,SERPINB9P1
FAM83G,0.823132074,4.511284182,16.85914076,4.03E-05,0.000790819,FAM83G
POU2F2,0.821226288,0.529412955,8.318120535,0.003925151,0.018651201,POU2F2
PARP9,0.818714011,6.649482334,6.920701183,0.008520356,0.032949303,PARP9
PRICKLE4,0.818202531,4.19993342,19.32175476,1.10E-05,0.000360304,PRICKLE4
LOC105377576,0.817750439,1.016926749,7.486618798,0.006215916,0.026219329,LOC105377576
TNFSF15,0.817267062,1.784625262,9.605630915,0.001939816,0.011145273,TNFSF15
TSHZ3,0.816428882,2.71264166,14.20745433,0.000163721,0.001991144,TSHZ3
FMNL3,0.815916942,1.361125634,8.659847999,0.003252984,0.016275801,FMNL3
LINC02012,0.815709965,0.388777403,10.69148574,0.001076297,0.00732953,LINC02012
TPTE2P1,0.815469511,0.852474016,6.093963905,0.013564444,0.045592106,TPTE2P1
LDLR,0.814990888,6.987973976,22.84132752,1.76E-06,0.000143654,LDLR
NRG2,0.814752572,1.480878379,10.14618719,0.001446,0.008984711,NRG2
SDK1,0.814397961,5.295249166,19.82277488,8.50E-06,0.000309526,SDK1
PER3,0.814093305,4.561101918,10.95026295,0.000935903,0.006637005,PER3
SEMA6A,0.812098237,2.295827819,4.893142465,0.026963565,0.074896038,SEMA6A
IRF1,0.811579959,5.695611908,14.61783199,0.000131663,0.00172636,IRF1
OBSCN,0.810827669,5.327983251,11.99728312,0.000532782,0.004500932,OBSCN
TNC,0.810711517,7.190994849,12.548146,0.0003966,0.003670733,TNC
IER2,0.809787885,5.478807251,8.353411987,0.003849638,0.018424834,IER2
LOC105378260,0.809581671,0.455928463,11.97132422,0.000540255,0.00454374,LOC105378260
SIK1B,0.80945225,5.546414973,6.189626218,0.012850133,0.043904377,SIK1B
MMRN2,0.808984624,1.634725979,5.340434379,0.02083628,0.061930739,MMRN2
ABCC1,0.808550231,6.757337097,19.11469442,1.23E-05,0.000380231,ABCC1
C1RL-AS1,0.808153972,2.267911699,17.6694743,2.63E-05,0.000605145,C1RL-AS1
LOC654780,0.80793589,2.053740877,10.42662916,0.001242112,0.008085293,LOC654780
BISPR,0.806621542,2.667483137,7.47252301,0.00626477,0.026344472,BISPR
RDH13,0.8066137,4.048749036,18.04857485,2.15E-05,0.000547493,RDH13
ZSWIM6,0.806210942,4.954761167,25.59300345,4.22E-07,5.90E-05,ZSWIM6
MIAT,0.805056413,1.169889381,8.56968684,0.003418059,0.016883515,MIAT
FAT3,0.804759989,1.143135985,10.60813339,0.001125913,0.007545215,FAT3
LAMA5,0.803551815,8.045134348,25.84176289,3.71E-07,5.47E-05,LAMA5
NR6A1,0.803111946,2.529350516,14.30470771,0.000155476,0.001921107,NR6A1
TFAP2C,0.800883849,2.666561139,25.82995563,3.73E-07,5.47E-05,TFAP2C
