Gene,logFC,logCPM,LR,PValue,FDR
REV1,-0.104645227,5.472680828,0.257539674,0.611815492,0.996621727
NDUFA1,-0.152375721,5.807458849,0.25737836,0.611927004,0.996621727
SDCCAG8,-0.098731577,4.661688731,0.257296142,0.611983857,0.996621727
SHQ1,0.100184172,4.232055034,0.257282884,0.611993025,0.996621727
ZNF862,0.158144451,4.463503673,0.257276161,0.611997675,0.996621727
THUMPD3-AS1,0.140976188,3.378981005,0.257166069,0.612073822,0.996621727
LOC105374334,-0.179333674,1.286962274,0.25700983,0.612181924,0.996621727
H2BC4,-0.187519623,3.030713437,0.256955826,0.612219299,0.996621727
AKR1C3,-0.144849503,7.452119478,0.256904593,0.612254761,0.996621727
SENP7,-0.188462342,4.445416699,0.256900499,0.612257595,0.996621727
STX7,0.126454946,5.754637828,0.256862139,0.612284149,0.996621727
HIGD1A,0.113962347,6.070571994,0.256671049,0.612416469,0.996621727
METTL2B,-0.117043054,3.888435871,0.256334143,0.612649908,0.996621727
IL17RE,-0.24773019,3.356839656,0.256193578,0.612747361,0.996621727
PMM2,0.123690314,4.94765917,0.256185887,0.612752695,0.996621727
NIT1,-0.134961828,4.535907467,0.255978431,0.612896587,0.996621727
TRMT10A,-0.168153525,3.496639705,0.255953476,0.612913901,0.996621727
TMEM205,-0.19114676,5.180289209,0.255676503,0.613106137,0.996621727
CLSPN,-0.290864462,0.264526549,0.255545641,0.613197009,0.996621727
OIP5-AS1,0.160399376,6.612766916,0.255471783,0.613248309,0.996621727
PPIG,-0.139649909,6.341530803,0.255366297,0.613321594,0.996621727
ZNF277,0.121656176,4.05205093,0.255125896,0.61348868,0.996621727
NSUN5P2,0.186961769,2.544553854,0.254909951,0.613638854,0.996621727
METAP2,-0.106813388,6.333668336,0.254856535,0.613676012,0.996621727
BID,0.150984463,5.772694835,0.254661088,0.613812017,0.996621727
CSTF1,0.103458619,4.534089296,0.254578814,0.613869289,0.996621727
KMT2B,-0.137820953,5.270516884,0.254366967,0.614016809,0.996621727
GOLGA3,0.109229678,6.302286798,0.254266001,0.614087145,0.996621727
C4orf48,-0.338353398,0.841548641,0.254065654,0.614226763,0.996621727
EMP2,-0.178390679,6.34602964,0.254057515,0.614232437,0.996621727
DHX36,0.125160132,5.456166343,0.254054681,0.614234412,0.996621727
NRAD1,0.137944737,2.616384823,0.254014994,0.614262079,0.996621727
PYROXD1,0.14305967,4.598375181,0.253933407,0.614318962,0.996621727
DICER1-AS1,0.206218528,1.436229257,0.253868909,0.614363939,0.996621727
ADD3,-0.124783043,7.61305391,0.253707491,0.614476533,0.996621727
ARL1,-0.105465832,6.719892139,0.253597986,0.614552942,0.996621727
CABLES1,0.1257089,2.818717029,0.253584206,0.614562559,0.996621727
SNX7,0.106612377,4.993464437,0.253565154,0.614575856,0.996621727
