genes	cluster
TNNT2	AgeUp
TOP2A	AgeDown
TPX2	AgeDown
TRIM10	AgeDown
TRIML2	AgeDown
TRIP13	AgeDown
TROAP	AgeDown
TTK	AgeDown
TYMS	AgeDown
UBE2C	AgeDown
UBE2T	AgeDown
UCHL5	AgeDown
UHRF1	AgeDown
UNC45B	AgeUp
WDHD1	AgeDown
WDR62	AgeDown
WISP2	AgeUp
XRCC2	AgeDown
YBX2	AgeDown
ZNF367	AgeDown
ZNF518B	AgeDown
